"TIME","Z1","Z2","Z3","MD","FU","ESS","ES1","ES2","ES3","SP","DZ1","DZ2","DZ3","F2A","F2L","EFT","SEQ","SEQF","BIGD","DEBUG.FU","DEBUG.GAMMA","DEBUG.ES3"
"60",1609613,NA,NA,0.157226943349964,2.76960585359751e-08,11679.2822389586,2.37138361496132e-12,3.8416870467521e-15,2.36754192791457e-12,0,NA,NA,NA,2.76936871523602e-08,-0.650011946501713,-0.402683161757557,0.000419018679994383,5.47435449596211,4.3467093288149,9.36681028304281,-1,NA,-1
"61",1680334,NA,NA,0.159139966172513,2.64161872985583e-08,12865.6651717022,2.05323136783167e-12,3.27878344795193e-15,2.04995258438372e-12,0,NA,NA,NA,2.64141340671905e-08,-0.639150482159129,-0.403826780479592,0.000384327151080787,5.41082058263425,4.2232795222871,9.46361864138046,-1,NA,-1
"62",1754934,NA,NA,0.161082788078122,2.56796442504468e-08,13631.475772877,1.8838491648529e-12,2.98255412126549e-15,1.88086661073163e-12,0,NA,NA,NA,2.5677760401282e-08,-0.650794802213012,-0.390836243385956,0.000364980427224471,5.40549454937588,4.15119049060104,9.52147693487093,-1,NA,-1
"63",1829054,NA,NA,0.162949312254363,2.46940129596327e-08,14767.0661810803,1.67223554474692e-12,2.61621689813572e-15,1.66961932784878e-12,0,NA,NA,NA,2.46923407240879e-08,-0.635399312003518,-0.395112203122621,0.000339801471480545,5.36792269279816,4.05344753474039,9.60155058424445,-1,NA,-1
"64",1904213,NA,NA,0.164760977826628,2.35251197164972e-08,16306.006900735,1.4427272022948e-12,2.22412987830145e-15,1.4405030724165e-12,0,NA,NA,NA,2.35236769892949e-08,-0.626973125551519,-0.394838913973171,0.000311002077706047,5.30092264302683,3.93553610694783,9.70075681209643,-1,NA,-1
"65",1984214,NA,NA,0.166615598202501,2.28448628652195e-08,17313.9860988455,1.31944560511936e-12,2.01601932120728e-15,1.31742958579816e-12,0,NA,NA,NA,2.28435434196144e-08,-0.626080591586969,-0.389836616885302,0.000294775391220366,5.29479356536837,3.8658637711498,9.760783227648,-1,NA,-1
"66",2068334,NA,NA,0.168493315744766,2.18073314830639e-08,19039.5788734972,1.1453683733215e-12,1.72549620672475e-15,1.14364287711477e-12,0,NA,NA,NA,2.18061861146906e-08,-0.620068253322083,-0.388693711931279,0.00027078776312594,5.22519194911193,3.75802053878446,9.85586310227548,-1,NA,-1
"67",2154934,NA,NA,0.170363619456299,2.13904850865463e-08,19805.6288900437,1.0800204934315e-12,1.61753510242056e-15,1.07840295832908e-12,0,NA,NA,NA,2.13894050660529e-08,-0.624923615641545,-0.380743271223035,0.000261410735735012,5.2388580342601,3.71413151324092,9.89534138604412,-1,NA,-1
"68",2233854,NA,NA,0.172016886749908,2.05133746183899e-08,21574.9766686282,9.50794753267013e-13,1.40599258778973e-15,9.49388760679223e-13,0,NA,NA,NA,2.05124238236367e-08,-0.619745967334766,-0.380353397544799,0.000242170494558278,5.16508583196102,3.62067781237317,9.98098090332668,-1,NA,-1
"69",2308575,NA,NA,0.173536935165618,2.01758419494485e-08,22319.0176848051,9.03975355653053e-13,1.33003596467157e-15,9.02645319688381e-13,0,NA,NA,NA,2.01749379740928e-08,-0.626099934759177,-0.372143193775263,0.000234944378340239,5.17463179248094,3.58430113997739,10.0149150533051,-1,NA,-1
